song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,crawl_date,song_popularity,genres
285Bh5EkbxGGE76ge8JDbH,Lucid Dream,aespa,Savage - The 1st Mini Album,210560,6,4970067,72,74,5/10/2021,2/4/2024,68,['k-pop girl group']
2IgbYlOlFpiSFYnsqB39lM,Jasmine,DPR LIVE,Jasmine,201510,1,1028310,57,61,8/10/2017,2/4/2024,63,['korean r&b']
4vJfBno2d0mTjMcYn5lEln,Ballroom Extravaganza,DPR IAN,Moodswings In To Order,189946,11,1261217,69,70,29/7/2022,2/4/2024,63,['k-rap']
3uA8SjMyDtwtt0jLPMQbVD,D (Half Moon),DEAN,130 Mood : TRBL,229359,5,1448751,65,63,25/3/2016,2/4/2024,63,"['k-pop', 'korean r&b']"
4ubg38wkWizzLsQwLuE6rM,In My Dreams,Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,204760,6,8983641,64,71,21/3/2022,2/4/2024,60,"['k-pop', 'k-pop girl group']"
4AHNi316rl3KI3hKIsdxZe,Restless,BIBI,LISTEN 035 Restless,267080,1,1367281,52,68,2/2/2020,2/4/2024,58,"['k-pop', 'korean r&b']"
02K01fxmK5qQrwWSHGbb9d,KISS ME,DPR LIVE,IS ANYBODY OUT THERE?,278200,8,1028310,56,61,3/3/2020,2/4/2024,59,['korean r&b']
2rXpdfLf7MJmFWU9eDK2tD,Wanna be my,LambC,Wanna be my,187922,1,59295,33,38,18/3/2024,2/4/2024,39,['korean r&b']
3IEl9Hb4Wx1gtVF6op4LUc,Foggy,Milena,Foggy,153080,3,17684,44,39,14/3/2024,2/4/2024,37,"['k-pop', 'korean pop']"
0w9YTapeo8WSqMnUFRM6fO,WITHOUT ME,h3hyeon,HESITATING,173946,5,9499,39,36,16/3/2024,2/4/2024,37,['k-rap']
7pgbDdy7ax962o9d2xJceV,Slow Dancing (Piano Ver.),V,Layover,188093,6,17595875,86,83,8/9/2023,2/4/2024,74,"['j-division', 'korean ost']"
1hncbzqfhChm8PS0UeoVY6,Rock With You - Spotify Singles,Jay Park,Spotify Singles,228226,1,2048303,47,64,31/3/2023,2/4/2024,53,"['k-pop', 'k-rap', 'korean r&b']"
